User_ID  ,Họ_Tên               ,Giới_Tính ,Ngày_Sinh  ,Số_Điện_Thoại ,Email                         ,Địa_Chỉ          ,Thành_Phố               ,Nghề_Nghiệp
USR00032 ,Hồng Vũ              ,Nữ        ,06/04/1965 ,   0358710627 ,hongvu26@gmail.com            ,37 Bùi Hẻm       ,Huyện JohnXã            ,Dược sĩ
USR00033 ,Lâm Bùi              ,Nữ        ,27/10/1999 ,   0838338553 ,lambui70@gmail.com            ,471 John Dãy     ,JohnXã                  ,Luật sư
USR00034 ,Hưng Đức Trần        ,Nam       ,08/10/1995 ,   0388498225 ,hungđuctran54@gmail.com       ,49 Lê Làng       ,Thành phố JanePhường    ,Quản lý sản xuất
USR00035 ,Quang Hải Trần       ,Nam       ,18/02/1993 ,   0933897881 ,quanghaitran91@gmail.com      ,90 Jane Dãy      ,Thành phố JohnPhường    ,Dược sĩ
USR00036 ,Chị Lan Mai          ,Nữ        ,06/02/1962 ,   0525656057 ,chilanmai59@gmail.com         ,4 John Hẻm       ,Thị xã JaneHuyện        ,Thực Tập
USR00037 ,Quý ông Bảo Đặng     ,Nam       ,26/03/1966 ,   0375252252 ,quyongbaođang97@gmail.com     ,2 Trần Ngõ       ,Thành phố JohnThành phố ,Thợ xây
USR00038 ,Ngọc Hoàng           ,Nữ        ,24/11/1970 ,   0985785207 ,ngochoang26@gmail.com         ,083 Trần Hẻm     ,JaneQuận                ,Tester
USR00039 ,Chị Linh Phạm        ,Nữ        ,27/03/1979 ,   0778716406 ,chilinhpham53@gmail.com       ,091 Jane Dãy     ,Quận JaneThị xã         ,Trưởng phòng kinh doanh
USR00040 ,Tùng Mai Bảo Hoàng   ,Nam       ,06/07/1966 ,   0339446995 ,tungmaibaohoang36@gmail.com   ,87 John Dãy      ,Huyện JaneThành phố     ,Nhân viên kinh doanh
USR00041 ,Vi Mai               ,Nữ        ,30/05/1996 ,   0590472776 ,vimai59@gmail.com             ,823 Jane Khu     ,Huyện JanePhường        ,Kiểm toán
USR00042 ,Nhật Hữu Lê          ,Nam       ,10/03/2002 ,   0398469964 ,nhathuule32@gmail.com         ,50 Jane Đường    ,JohnThành phố           ,Trưởng phòng kinh doanh
USR00043 ,Vi Lê                ,Nữ        ,14/12/1967 ,   0399696474 ,vile63@gmail.com              ,863 Jane Ngõ     ,JohnThị xã              ,Kiến trúc sư
USR00044 ,Chị Hà Bùi           ,Nữ        ,14/10/1964 ,   0739661599 ,chihabui12@gmail.com          ,31 Jane Ngõ      ,JaneThành phố           ,Giảng viên
USR00045 ,Cô Vi Trần           ,Nữ        ,31/05/1984 ,   0745277549 ,covitran68@gmail.com          ,2 Hoàng Hẻm      ,Thành phố JohnPhường    ,Kỹ sư nông nghiệp
USR00046 ,Nhật Phạm            ,Nữ        ,22/10/2001 ,   0319207468 ,nhatpham10@gmail.com          ,75 John Làng     ,Thành phố JohnXã        ,Luật sư
USR00047 ,Kim Hoàng            ,Nữ        ,27/10/1988 ,   0851761794 ,kimhoang94@gmail.com          ,1 Jane Tổ        ,JaneQuận                ,Marketing Manager
USR00048 ,Ông Trọng Hoàng      ,Nam       ,01/09/1972 ,   0330862533 ,ongtronghoang86@gmail.com     ,1 Trần Dãy       ,JaneQuận                ,Dược sĩ
USR00049 ,Hương Mai            ,Nữ        ,01/01/1990 ,   0975343207 ,huongmai41@gmail.com          ,02 Vũ Hẻm        ,Thị xã JohnXã           ,Kiến trúc sư
USR00050 ,Tú Hải Bùi           ,Nam       ,22/04/1979 ,   0841929338 ,tuhaibui31@gmail.com          ,03 Jane Tổ       ,Huyện JaneXã            ,Thực Tập
USR00051 ,Nam Lê               ,Nam       ,29/12/1985 ,   0942788009 ,namle28@gmail.com             ,5 Đặng Đường     ,Thị xã JohnHuyện        ,Chuyên viên phân tích thị trường
USR00052 ,Anh Hoàng Hoàng      ,Nam       ,25/11/1989 ,   0710546444 ,anhhoanghoang97@gmail.com     ,331 Jane Hẻm     ,JaneQuận                ,Nông dân
USR00053 ,Nam Hải Phạm         ,Nam       ,28/10/1966 ,   0385568434 ,namhaipham14@gmail.com        ,1 Trần Làng      ,Thị xã JaneXã           ,Thực tập sinh giáo dục
USR00054 ,Châu Lê              ,Nam       ,06/02/1977 ,   0932228192 ,chaule16@gmail.com            ,098 Trần Khu     ,Quận JohnThị xã         ,Chuyên viên tư vấn tuyển sinh
USR00055 ,Bác Huy Đặng         ,Nam       ,18/01/2005 ,   0968284264 ,bachuyđang95@gmail.com        ,8 Hoàng Đường    ,JanePhường              ,Nghệ sĩ
USR00056 ,Quý ông Dũng Lê      ,Nam       ,25/07/1971 ,   0927392457 ,quyongdungle86@gmail.com      ,297 Lê Khu       ,JaneXã                  ,Dược sĩ
USR00057 ,Hà Bảo Vũ            ,Nam       ,09/11/1972 ,   0342548276 ,habaovu12@gmail.com           ,1 Jane Tổ        ,JohnXã                  ,Chuyên viên bán hàng trực tuyến
USR00058 ,Chị Bảo Dương        ,Nữ        ,23/12/1990 ,   0358961701 ,chibaoduong24@gmail.com       ,30 Bùi Dãy       ,Thị xã JohnThành phố    ,Y tá
USR00059 ,Lâm Phú Đặng         ,Nam       ,08/12/1978 ,   0924228674 ,lamphuđang95@gmail.com        ,323 Jane Khu     ,JanePhường              ,Giám đốc kinh doanh
USR00060 ,Anh Tùng Trần        ,Nam       ,05/03/1992 ,   0531412845 ,anhtungtran96@gmail.com       ,1 John Khu       ,Thị xã JohnXã           ,Giảng viên
USR00061 ,Bà Hạnh Nguyễn       ,Nữ        ,11/07/2006 ,   0774289007 ,bahanhnguyen97@gmail.com      ,152 John Khu     ,Huyện JohnThành phố     ,Giáo viên
USR00062 ,Vân Nguyễn           ,Nữ        ,05/12/1979 ,   0727196124 ,vannguyen83@gmail.com         ,36 Jane Khu      ,JohnThành phố           ,Điều Dưỡng
USR00063 ,Khoa Phạm            ,Nữ        ,29/08/1982 ,   0884795763 ,khoapham13@gmail.com          ,6 Vũ Tổ          ,Thị xã JohnHuyện        ,Giáo viên
USR00064 ,Lâm Văn Trần         ,Nam       ,25/04/1999 ,   0559898516 ,lamvantran79@gmail.com        ,290 John Tổ      ,Huyện JaneHuyện         ,Giám đốc kinh doanh
USR00065 ,Bảo Trí Hoàng        ,Nam       ,15/03/1976 ,   0582951256 ,baotrihoang10@gmail.com       ,956 Mai Hẻm      ,JohnThị xã              ,Lập trình viên
USR00066 ,Ông Thành Đặng       ,Nam       ,17/01/2000 ,   0590579998 ,ongthanhđang91@gmail.com      ,67 Jane Hẻm      ,JaneXã                  ,Kỹ sư giám sát
USR00067 ,An Hoàng Hoàng       ,Nam       ,16/11/1976 ,   0830347593 ,anhoanghoang92@gmail.com      ,914 Trần Ngõ     ,JaneThành phố           ,Thực Tập
USR00068 ,Kim Phạm             ,Nữ        ,31/05/1961 ,   0751130612 ,kimpham99@gmail.com           ,1 John Làng      ,Quận JohnThị xã         ,Nhân viên lễ tân
USR00069 ,Huy Nguyễn           ,Nam       ,24/06/1980 ,   0581070026 ,huynguyen81@gmail.com         ,647 Vũ Làng      ,JohnPhường              ,Lập trình viên
USR00070 ,Quang Mai Bảo Vũ     ,Nam       ,26/04/1989 ,   0861898361 ,quangmaibaovu88@gmail.com     ,8 Jane Dãy       ,JanePhường              ,Giảng viên
USR00071 ,Hà Mai Bảo Đặng      ,Nam       ,05/03/1970 ,   0751272349 ,hamaibaođang51@gmail.com      ,91 John Hẻm      ,Thị xã JaneThành phố    ,Quản lý sản xuất
USR00072 ,Nhật Mai             ,Nữ        ,25/11/1988 ,   0580407406 ,nhatmai68@gmail.com           ,62 Jane Ngõ      ,JaneXã                  ,Chuyên viên bảo mật
USR00073 ,Cô Xuân Dương        ,Nữ        ,23/05/1965 ,   0893963845 ,coxuanduong88@gmail.com       ,022 John Làng    ,Thành phố JaneXã        ,Chuyên viên bảo mật
USR00074 ,Ngọc Lê              ,Nữ        ,14/03/2005 ,   0923119512 ,ngocle63@gmail.com            ,85 John Khu      ,Quận JohnXã             ,Marketing Manager
USR00075 ,Hoàng Văn Hoàng      ,Nam       ,23/05/1972 ,   0751692271 ,hoangvanhoang31@gmail.com     ,392 Bùi Khu      ,Thị xã JohnHuyện        ,Nhân viên nhà hàng
USR00076 ,Yến Nguyễn           ,Nữ        ,11/02/2003 ,   0886665763 ,yennguyen55@gmail.com         ,1 Jane Ngõ       ,JaneThành phố           ,Project Manager
USR00077 ,Thành Đức Trần       ,Nam       ,25/04/2001 ,   0984886520 ,thanhđuctran67@gmail.com      ,33 Dương Số      ,JanePhường              ,Công nhân sản xuất
USR00078 ,Tú Quang Vũ          ,Nam       ,04/10/1977 ,   0545881129 ,tuquangvu40@gmail.com         ,79 John Khu      ,JohnThành phố           ,Nhân viên lễ tân
USR00079 ,Ngọc Dương           ,Nữ        ,11/10/1992 ,   0732340855 ,ngocduong43@gmail.com         ,856 Lê Làng      ,Huyện JaneQuận          ,Quản lý sản xuất
USR00080 ,Hải Trí Vũ           ,Nam       ,01/05/1967 ,   0381008713 ,haitrivu40@gmail.com          ,12 Lê Làng       ,Quận JohnHuyện          ,Marketing Manager
USR00081 ,Thảo Bùi             ,Nữ        ,02/03/1965 ,   0931542833 ,thaobui81@gmail.com           ,21 John Dãy      ,JaneXã                  ,Nông dân
USR00082 ,Quý cô Vi Đặng       ,Nữ        ,22/11/1964 ,   0588856663 ,quycoviđang60@gmail.com       ,710 Phạm Làng    ,JohnQuận                ,Chuyên viên nhân sự
USR00083 ,Cô Linh Bùi          ,Nữ        ,10/05/1971 ,   0540334345 ,colinhbui77@gmail.com         ,75 John Tổ       ,Thị xã JaneHuyện        ,Chuyên viên bán hàng trực tuyến
USR00084 ,Chị An Lê            ,Nữ        ,02/02/1964 ,   0351235413 ,chianle68@gmail.com           ,5 John Dãy       ,JaneThành phố           ,Tester
USR00085 ,Anh Phúc Bùi         ,Nam       ,18/09/1973 ,   0765953755 ,anhphucbui70@gmail.com        ,53 Mai Số        ,JohnQuận                ,Chuyên viên nhân sự
USR00086 ,Quang Xuân Vũ        ,Nam       ,04/05/1977 ,   0588504206 ,quangxuanvu52@gmail.com       ,7 Jane Hẻm       ,JaneQuận                ,Kỹ sư nông nghiệp
USR00087 ,Dũng Phạm            ,Nam       ,09/10/1993 ,   0313738098 ,dungpham81@gmail.com          ,0 Bùi Làng       ,Quận JanePhường         ,Kỹ sư giám sát
USR00088 ,Cô Hương Bùi         ,Nữ        ,13/09/1965 ,   0339836802 ,cohuongbui27@gmail.com        ,3 Jane Tổ        ,JohnXã                  ,Nhân viên khách sạn
USR00089 ,Tú Hoàng             ,Nam       ,08/03/2006 ,   0380207953 ,tuhoang50@gmail.com           ,73 Dương Hẻm     ,JohnHuyện               ,Thực tập sinh giáo dục
USR00090 ,Nhật Bảo Hoàng       ,Nam       ,19/08/1971 ,   0942033107 ,nhatbaohoang58@gmail.com      ,628 Jane Khu     ,Quận JohnThị xã         ,Lập trình viên
USR00091 ,Chi Mai              ,Nữ        ,21/04/2005 ,   0396587359 ,chimai66@gmail.com            ,437 Mai Tổ       ,Thị xã JaneQuận         ,Luật sư
USR00092 ,Quang Mai Bảo Lê     ,Nam       ,18/11/1960 ,   0947215481 ,quangmaibaole73@gmail.com     ,151 Vũ Số        ,JohnThị xã              ,Nhà phân tích dữ liệu
USR00093 ,Khoa Vũ              ,Nữ        ,18/11/1971 ,   0830365170 ,khoavu70@gmail.com            ,357 Jane Dãy     ,JohnPhường              ,Thực tập sinh giáo dục
USR00094 ,Nhật Mai Vũ          ,Nam       ,15/07/1996 ,   0837523307 ,nhatmaivu82@gmail.com         ,6 Hoàng Số       ,Huyện JaneXã            ,Nhân Viên Bán Hàng
USR00095 ,Nhật Phạm            ,Nữ        ,08/09/1972 ,   0919330351 ,nhatpham20@gmail.com          ,7 John Tổ        ,JaneHuyện               ,Chuyên viên bảo mật
USR00096 ,Bảo Trần             ,Nữ        ,16/06/1985 ,   0977205307 ,baotran96@gmail.com           ,36 Jane Làng     ,Thị xã JaneXã           ,Giảng viên
USR00097 ,Linh Lê              ,Nữ        ,28/03/1989 ,   0325855358 ,linhle70@gmail.com            ,5 Đặng Số        ,Quận JohnXã             ,Project Manager
USR00098 ,Thành Đức Nguyễn     ,Nam       ,27/01/1981 ,   0573024271 ,thanhđucnguyen69@gmail.com    ,685 Jane Số      ,JohnQuận                ,Nhân viên ngân hàng
USR00099 ,Bà Linh Bùi          ,Nữ        ,14/12/1975 ,   0985831565 ,balinhbui56@gmail.com         ,529 John Ngõ     ,Quận JaneThành phố      ,Quản lý sản xuất
USR00100 ,Trung Dương          ,Nam       ,02/10/1968 ,   0926860441 ,trungduong32@gmail.com        ,1 Bùi Ngõ        ,Thị xã JanePhường       ,Kỹ sư phần mềm
USR00101 ,Quý cô Nhật Dương    ,Nữ        ,06/09/1991 ,   0393163431 ,quyconhatduong23@gmail.com    ,7 Dương Hẻm      ,JohnThị xã              ,Kiểm toán
USR00102 ,Hưng Hải Vũ          ,Nam       ,21/10/1986 ,   0338767985 ,hunghaivu55@gmail.com         ,43 John Hẻm      ,Thị xã JanePhường       ,Điều Dưỡng
USR00103 ,Châu Mai             ,Nam       ,10/04/1977 ,   0381058500 ,chaumai62@gmail.com           ,57 Lê Số         ,Quận JohnHuyện          ,Dược sĩ
USR00104 ,Quý cô Linh Lê       ,Nữ        ,27/09/1988 ,   0571750085 ,quycolinhle43@gmail.com       ,885 Đặng Hẻm     ,Huyện JaneHuyện         ,Lập trình viên
USR00105 ,Chị Hải Phạm         ,Nữ        ,09/09/1999 ,   0565646069 ,chihaipham91@gmail.com        ,45 Jane Dãy      ,Huyện JaneThành phố     ,Kiểm toán
USR00106 ,Anh Châu Lê          ,Nam       ,18/08/1962 ,   0924987618 ,anhchaule51@gmail.com         ,39 Đặng Số       ,Quận JaneXã             ,Tư vấn khách hàng
USR00107 ,Bà Hạnh Bùi          ,Nữ        ,02/09/1976 ,   0856335560 ,bahanhbui72@gmail.com         ,96 Vũ Khu        ,Thị xã JohnPhường       ,Kế toán
USR00108 ,Bà Kim Lê            ,Nữ        ,24/12/1969 ,   0521328259 ,bakimle17@gmail.com           ,0 Bùi Hẻm        ,Huyện JohnThị xã        ,Thợ xây
USR00109 ,Anh Quang Hoàng      ,Nam       ,23/05/2007 ,   0826696481 ,anhquanghoang63@gmail.com     ,529 Dương Ngõ    ,Huyện JohnThị xã        ,Nông dân
USR00110 ,Ngọc Lê              ,Nữ        ,03/05/1992 ,   0565125596 ,ngocle32@gmail.com            ,9 Vũ Khu         ,Huyện JohnThành phố     ,Giám đốc kinh doanh
USR00111 ,Cô Dương Phạm        ,Nữ        ,27/03/1997 ,   0986420493 ,coduongpham62@gmail.com       ,46 Nguyễn Tổ     ,Thị xã JohnXã           ,Thực Tập
USR00112 ,Nhật Trần            ,Nữ        ,23/05/1973 ,   0982859554 ,nhattran72@gmail.com          ,05 Jane Số       ,JohnHuyện               ,Thực Tập
USR00113 ,Khoa Phạm            ,Nữ        ,23/08/1989 ,   0984592535 ,khoapham62@gmail.com          ,92 Vũ Khu        ,JohnThị xã              ,Marketing Manager
USR00114 ,Nam Văn Dương        ,Nam       ,29/12/1969 ,   0821450157 ,namvanduong61@gmail.com       ,75 John Tổ       ,JanePhường              ,Chuyên viên phân tích thị trường
USR00115 ,Hoàng Đức Dương      ,Nam       ,30/09/1970 ,   0582256762 ,hoangđucduong64@gmail.com     ,1 Jane Hẻm       ,JaneThị xã              ,Nông dân
USR00116 ,Nhật Đức Đặng        ,Nam       ,21/12/1970 ,   0530535736 ,nhatđucđang86@gmail.com       ,7 Vũ Dãy         ,Thành phố JohnHuyện     ,Chuyên viên tín dụng
USR00117 ,Vân Lê               ,Nữ        ,06/05/2000 ,   0318142077 ,vanle89@gmail.com             ,3 Phạm Hẻm       ,Thành phố JohnXã        ,Chuyên viên bán hàng trực tuyến
USR00118 ,Bảo Phạm             ,Nam       ,17/10/1997 ,   0386537480 ,baopham36@gmail.com           ,970 John Khu     ,JaneThành phố           ,Quản lý sản xuất
USR00119 ,Khoa Đặng            ,Nữ        ,13/12/1975 ,   0953820805 ,khoađang79@gmail.com          ,573 Dương Đường  ,Quận JohnXã             ,Nghệ sĩ
USR00120 ,Quý cô Nhật Vũ       ,Nữ        ,26/08/1994 ,   0592746052 ,quyconhatvu12@gmail.com       ,6 John Ngõ       ,Thành phố JaneThị xã    ,Kiến trúc sư
USR00121 ,Nhật Thế Dương       ,Nam       ,09/10/1974 ,   0592695731 ,nhattheduong81@gmail.com      ,457 Jane Đường   ,Quận JohnXã             ,Kiểm toán
USR00122 ,Nhật Nguyễn          ,Nữ        ,01/03/1967 ,   0369975026 ,nhatnguyen32@gmail.com        ,078 John Số      ,JanePhường              ,Nhân viên hành chính
USR00123 ,Lâm Bảo Mai          ,Nam       ,26/12/1995 ,   0991191709 ,lambaomai29@gmail.com         ,858 Jane Dãy     ,Huyện JohnHuyện         ,Giáo viên
USR00124 ,Quang Văn Nguyễn     ,Nam       ,28/05/1991 ,   0766322202 ,quangvannguyen18@gmail.com    ,3 Jane Dãy       ,Huyện JaneHuyện         ,Nhân viên khách sạn
USR00125 ,Bảo Mai Bảo Hoàng    ,Nam       ,22/09/1987 ,   0955385253 ,baomaibaohoang44@gmail.com    ,65 Jane Tổ       ,Quận JanePhường         ,Bác sĩ
USR00126 ,Chị Mai Lê           ,Nữ        ,10/02/2003 ,   0848104693 ,chimaile55@gmail.com          ,998 Nguyễn Số    ,JaneThành phố           ,Giám đốc kinh doanh
USR00127 ,Bà Lâm Phạm          ,Nữ        ,11/11/1974 ,   0319865489 ,balampham29@gmail.com         ,9 Jane Khu       ,JohnThành phố           ,Bác sĩ
USR00128 ,Quý cô Vi Hoàng      ,Nữ        ,23/07/2004 ,   0933248780 ,quycovihoang88@gmail.com      ,69 Jane Làng     ,JaneQuận                ,Chuyên viên nhân sự
USR00129 ,Hải Bảo Mai          ,Nam       ,03/09/1997 ,   0799191146 ,haibaomai31@gmail.com         ,002 John Ngõ     ,Thị xã JohnHuyện        ,Digital Marketer
USR00130 ,Anh Đức Dương        ,Nam       ,01/11/1988 ,   0982985203 ,anhđucduong35@gmail.com       ,42 Mai Hẻm       ,JohnXã                  ,Digital Marketer
USR00131 ,Khoa Bùi             ,Nữ        ,06/01/1992 ,   0715374294 ,khoabui99@gmail.com           ,088 Jane Dãy     ,Quận JaneQuận           ,Nhà phân tích dữ liệu
USR00132 ,Anh Quang Hoàng      ,Nam       ,15/06/1978 ,   0969996083 ,anhquanghoang27@gmail.com     ,51 John Hẻm      ,Thành phố JaneThị xã    ,Chuyên viên phân tích thị trường
USR00133 ,Quý cô Hạnh Đặng     ,Nữ        ,03/06/1971 ,   0927608335 ,quycohanhđang15@gmail.com     ,7 John Khu       ,Huyện JohnQuận          ,Luật sư
USR00134 ,Hạnh Vũ              ,Nữ        ,18/05/1962 ,   0547056904 ,hanhvu92@gmail.com            ,8 John Hẻm       ,Quận JohnXã             ,Nhà báo
USR00135 ,Quý ông Trung Trần   ,Nam       ,02/07/1978 ,   0391470612 ,quyongtrungtran42@gmail.com   ,6 John Ngõ       ,JaneXã                  ,Quản lý sản xuất
USR00136 ,Minh Quang Phạm      ,Nam       ,14/04/1984 ,   0833903426 ,minhquangpham66@gmail.com     ,791 Dương Hẻm    ,Thị xã JaneXã           ,Nhà báo
USR00137 ,Tú Mai Bảo Vũ        ,Nam       ,15/12/1959 ,   0852064776 ,tumaibaovu45@gmail.com        ,02 Jane Làng     ,Thị xã JaneThị xã       ,Nhân viên ngân hàng
USR00138 ,Nhật Quang Lê        ,Nam       ,12/02/1977 ,   0560899680 ,nhatquangle24@gmail.com       ,0 Jane Hẻm       ,JaneQuận                ,Nhân viên lễ tân
USR00139 ,Bác Nhiên Bùi        ,Nam       ,20/05/1996 ,   0526750122 ,bacnhienbui79@gmail.com       ,9 John Khu       ,JaneQuận                ,Chuyên viên bán hàng trực tuyến
USR00140 ,Trung Mai            ,Nam       ,22/01/1983 ,   0965691437 ,trungmai92@gmail.com          ,47 John Làng     ,Thị xã JaneQuận         ,UX/UI Designer
USR00141 ,An Văn Mai           ,Nam       ,11/04/1972 ,   0569146942 ,anvanmai74@gmail.com          ,747 Jane Đường   ,JaneThành phố           ,Nhân viên ngân hàng
USR00142 ,Anh Trọng Dương      ,Nam       ,22/07/1974 ,   0966013881 ,anhtrongduong53@gmail.com     ,382 Jane Tổ      ,JohnPhường              ,Chuyên viên tín dụng
USR00143 ,Hải Trần             ,Nữ        ,11/11/1983 ,   0565313900 ,haitran49@gmail.com           ,0 John Đường     ,Quận JaneHuyện          ,Dược sĩ
USR00144 ,Cô An Nguyễn         ,Nữ        ,06/05/1964 ,   0573535003 ,coannguyen35@gmail.com        ,53 Trần Hẻm      ,JaneHuyện               ,Nhà báo
USR00145 ,Cô Xuân Phạm         ,Nữ        ,13/08/1984 ,   0874839529 ,coxuanpham33@gmail.com        ,62 John Hẻm      ,JaneQuận                ,Marketing Manager
USR00146 ,Ông Nhiên Nguyễn     ,Nam       ,23/03/1992 ,   0925263044 ,ongnhiennguyen19@gmail.com    ,6 Vũ Dãy         ,JaneThành phố           ,Nhân viên lễ tân
USR00147 ,Bà Khoa Hoàng        ,Nữ        ,04/08/1981 ,   0843176760 ,bakhoahoang86@gmail.com       ,8 Mai Dãy        ,JaneQuận                ,Điều Dưỡng
USR00148 ,Quý cô Nhật Trần     ,Nữ        ,16/07/2001 ,   0534261801 ,quyconhattran53@gmail.com     ,194 Hoàng Làng   ,JohnPhường              ,Nhân viên khách sạn
USR00149 ,Ông Hưng Mai         ,Nam       ,18/08/1986 ,   0386000795 ,onghungmai28@gmail.com        ,41 John Làng     ,JohnThị xã              ,Kiến trúc sư
USR00150 ,Hà Vũ                ,Nữ        ,30/09/1981 ,   0963220326 ,havu55@gmail.com              ,720 Dương Ngõ    ,Quận JaneThị xã         ,Chuyên viên bảo mật
